campaign_id,sku,strategy_id,updated_at,notes
19295588,2878122467,3,2026-01-31T13:56:07Z,reason=strategy; strategy=3;
21352958,3169186366,3,2026-01-31T14:35:27Z,reason=strategy; strategy=3;
19295559,2878122540,3,2026-01-31T14:46:30Z,reason=strategy; strategy=3;
19596500,2850691199,1,2026-01-31T15:39:58Z,reason=strategy; strategy=1;
21352649,3169379200,1,2026-01-31T15:43:07Z,reason=strategy; strategy=1;
19596490,2850657385,1,2026-01-31T15:45:12Z,reason=strategy; strategy=1;
20021375,2878122509,1,2026-01-31T15:53:16Z,reason=strategy; strategy=1;
20021326,2878122742,1,2026-01-31T15:59:03Z,reason=strategy; strategy=1;
19596476,2850815574,2,2026-01-31T16:00:57Z,reason=strategy; strategy=2;
19596423,2850791894,2,2026-02-01T11:39:19Z,reason=strategy; strategy=2;
19582593,2889724144,2,2026-02-01T11:44:08Z,reason=strategy; strategy=2;
19582573,2816334376,1,2026-02-01T11:46:01Z,reason=strategy; strategy=1;
19295547,2878122582,1,2026-02-01T11:50:30Z,reason=strategy; strategy=1;
19295514,2878122474,2,2026-02-01T12:01:36Z,reason=strategy; strategy=2;
