ts_iso;date;campaign_id;sku;old_bid_micro;new_bid_micro;reason;comment
2026-01-28T17:46:37.736819+03:00;2026-01-28;19596423;2850791894;5000000;7000000;test;тратить по 5р это смешно
2026-01-28T17:54:39.847085+03:00;2026-01-28;21352958;3169186366;15000000;7000000;manual change;беда с карточкой
2026-01-28T18:36:18.497491+03:00;2026-01-28;19295588;2878122467;15000000;20000000;manual change;пробуем выйти на 500 просмотров
2026-01-28T18:42:23.953851+03:00;2026-01-28;20021375;2878122509;15000000;13000000;test;высоковат ДРР
2026-01-29T11:26:08.886576+03:00;2026-01-29;19596500;2850691199;4000000;3000000;test;пробуем снизить дрр до 20%
2026-01-29T11:42:26.762929+03:00;2026-01-29;19596490;2850657385;8000000;4000000;test;по 8р за клик не сходится дрр, хочу пониже дрр чем 40%
2026-01-29T11:53:05.935822+03:00;2026-01-29;19582593;2889724144;4062600;5000000;manual change;13р трат это смешно
2026-01-29T17:38:29.485579+03:00;2026-01-29;19596476;2850815574;5000000;4800000;test;тестируем target с 25% дрр
2026-01-30T15:15:37.912105+03:00;2026-01-30;19295588;2878122467;20000000;4500000;strategy;"reason=strategy; strategy=3; стратегия - STOP"
2026-01-30T15:38:32.323423+03:00;2026-01-30;19295588;2878122467;4500000;4500000;strategy;"reason=strategy; strategy=1;"
2026-01-31T16:56:07.952672+03:00;2026-01-31;19295588;2878122467;4500000;4500000;strategy;"reason=strategy; strategy=3;"
2026-01-31T17:35:28.709007+03:00;2026-01-31;21352958;3169186366;7000000;4000000;strategy;"reason=strategy; strategy=3;"
2026-01-31T17:46:32.214759+03:00;2026-01-31;19295559;2878122540;15000000;10000000;strategy;"reason=strategy; strategy=3;"
2026-01-31T18:40:00.138426+03:00;2026-01-31;19596500;2850691199;3000000;3000000;strategy;"reason=strategy; strategy=1;"
2026-01-31T18:43:08.377847+03:00;2026-01-31;21352649;3169379200;20000000;15000000;strategy;"reason=strategy; strategy=1;"
2026-01-31T18:45:14.850060+03:00;2026-01-31;19596490;2850657385;4000000;5000000;strategy;"reason=strategy; strategy=1;"
2026-01-31T18:53:17.498890+03:00;2026-01-31;20021375;2878122509;13000000;13000000;strategy;"reason=strategy; strategy=1;"
2026-01-31T18:59:04.224584+03:00;2026-01-31;20021326;2878122742;16000000;16000000;strategy;"reason=strategy; strategy=1;"
2026-01-31T19:00:58.808813+03:00;2026-01-31;19596476;2850815574;4800000;4800000;strategy;"reason=strategy; strategy=2;"
2026-02-01T14:39:21.205903+03:00;2026-02-01;19596423;2850791894;7000000;7000000;strategy;"reason=strategy; strategy=2;"
2026-02-01T14:44:09.736885+03:00;2026-02-01;19582593;2889724144;5000000;5000000;strategy;"reason=strategy; strategy=2;"
2026-02-01T14:46:02.374131+03:00;2026-02-01;19582573;2816334376;2525400;2500000;strategy;"reason=strategy; strategy=1;"
2026-02-01T14:50:32.405903+03:00;2026-02-01;19295547;2878122582;10000000;10000000;strategy;"reason=strategy; strategy=1;"
2026-02-01T15:01:38.380752+03:00;2026-02-01;19295514;2878122474;13000000;13000000;strategy;"reason=strategy; strategy=2;"
2026-02-03T18:45:09.721539+03:00;2026-02-03;21347774;3286715968;20000000;15000000;strategy;"reason=strategy; strategy=2;"
2026-02-03T18:49:20.044006+03:00;2026-02-03;21340462;3286716389;7000000;3000000;strategy;"reason=strategy; strategy=3;"
2026-02-03T18:50:18.492675+03:00;2026-02-03;21340379;3286716416;4000000;3000000;strategy;"reason=strategy; strategy=3;"
2026-02-03T18:51:08.198172+03:00;2026-02-03;21340399;3286716441;5000000;3000000;strategy;"reason=strategy; strategy=3;"
2026-02-06T12:08:52.812769+03:00;2026-02-06;21340491;3286716340;16000000;9000000;strategy;"reason=strategy; strategy=2;"
