ts,day,week,company,campaign_id,comment
2026-02-02T17:01:45,2026-02-02,2026-02-02,Osome tea,19295588,"добавил в отзывы за баллы, поднял цену на 100р"
2026-02-06T12:33:32,2026-02-05,2026-02-02,Aura tea,all,"по всем чаям 200 гр кроме Те гуаня сделал бонусы за баллы, поднял цену и убрал из акции некоторые"
2026-02-06T12:37:35,2026-02-04,2026-02-02,Aura tea,all,"Заменил фото без текста на фото с текстом в карточках: 
эрл 200\100\50
мол улун 200\50
ассам 200\50
цейлон 50
ганпаудер 200\50"
2026-02-11T11:40:30,2026-02-11,2026-02-09,Aura tea,all,"убрал отзывы за баллы, снизил цены"
2026-02-11T11:47:25,2026-02-11,2026-02-09,Aura tea,22334186,подключил оплату за заказ
2026-02-11T11:48:22,2026-02-11,2026-02-09,Aura tea,22334257,подключил оплату за заказ
2026-02-11T11:49:06,2026-02-11,2026-02-09,Aura tea,22334275,подключил оплату за заказ
2026-02-11T11:49:34,2026-02-11,2026-02-09,Aura tea,22334286,подключил оплату за заказ
2026-02-11T11:50:14,2026-02-11,2026-02-09,Aura tea,22334209,подключил оплату за заказ
2026-02-11T11:52:50,2026-02-11,2026-02-09,Aura tea,22334222,подключил оплату за заказ
2026-02-11T12:31:52,2026-02-11,2026-02-09,Osome tea,21343337,тест
